Country,Sector,Region,Sub-Region,ATC2,Corporation,Molecule List,Int-Product,NFC123,Int-Pack,Int-Strength,Int-Pack Size,Innovation Insights,Standard Units 2018-07,Standard Units 2019-07,Standard Units 2020-07,US$ MNF 2018-07,US$ MNF 2019-07,US$ MNF 2020-07,KG 2018-07,KG 2019-07,KG 2020-07
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 1.4MG+360Y 7,1.4MG+360Y,7,NON ORIGINAL BRANDED PRODUCTS,,1687.0,2534.0,,649.0,954.0,,0.0031,0.0046
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 11.4MG+2.9MG 7,11.4MG+2.9MG,7,NON ORIGINAL BRANDED PRODUCTS,,1071.0,2226.0,,2754.0,5587.0,,0.0161,0.0337
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 2.9MG+710Y 7,2.9MG+710Y,7,NON ORIGINAL BRANDED PRODUCTS,,1631.0,2807.0,,1253.0,2115.0,,0.0060999999999999995,0.0108
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 5.7MG+1.4MG 7,5.7MG+1.4MG,7,NON ORIGINAL BRANDED PRODUCTS,,1645.0,3416.0,,2114.0,4284.0,,0.012499999999999999,0.0257
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MEDIS (SLOVENIA),BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 8.6MG+2.1MG 7,8.6MG+2.1MG,7,NON ORIGINAL BRANDED PRODUCTS,,1652.0,4186.0,,3212.0,7915.0,,0.018800000000000004,0.047599999999999996
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,UNBRANDED PRODUCTS,,,11585.0,,,7986.0,,,0.12330000000000002
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,13650.0,16730.0,,5852.0,6988.0,,0.036399999999999995,0.04460000000000001
CROATIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,14112.0,19243.0,,20220.0,26840.0,,0.1501,0.2047
CZECH REPUBLIC,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,16226.0,12663.0,12313.0,26684.0,20020.0,18741.0,0.0431,0.03389999999999999,0.0329
CZECH REPUBLIC,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,46200.0,42945.0,48755.0,94402.0,84484.0,91864.0,0.4915000000000001,0.45699999999999996,0.5188999999999999
CZECH REPUBLIC,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,14154.0,11928.0,14987.0,23513.0,18855.0,22934.0,0.0376,0.0317,0.039900000000000005
CZECH REPUBLIC,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,282821.0,316085.0,288078.0,582110.0,618273.0,541648.0,3.0091000000000006,3.3631,3.0650999999999993
ESTONIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 7,4MG+1MG,7,NON ORIGINAL BRANDED PRODUCTS,,,161.0,,,359.0,,,0.0009
ESTONIA,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,,11648.0,,,31475.0,,,0.124
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  GLPR,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,UNBRANDED PRODUCTS,,1288.0,27972.0,,576.0,8310.0,,0.0034999999999999996,0.0745
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  GLPR,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,UNBRANDED PRODUCTS,,1680.0,28056.0,,2811.0,28669.0,,0.0178,0.2986
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 28,16MG+4MG,28,INNOVATIVE BRANDED PRODUCTS,8120.0,9996.0,9492.0,52627.0,61558.0,56633.0,0.1728,0.2127,0.202
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,347480.0,225204.0,61068.0,342266.0,125671.0,27861.0,0.9242,0.5992000000000001,0.16260000000000002
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,387184.0,223944.0,56812.0,1387766.0,450790.0,94286.0,4.1194999999999995,2.3826,0.6045
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,NON ORIGINAL BRANDED PRODUCTS,2352.0,100548.0,137144.0,1102.0,46248.0,50217.0,0.0062,0.2675,0.36510000000000004
FINLAND,HOSPITAL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,NON ORIGINAL BRANDED PRODUCTS,4956.0,111188.0,110348.0,8643.0,188574.0,145706.0,0.0528,1.1831,1.1741
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  GLPR,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,UNBRANDED PRODUCTS,,476.0,10640.0,,212.0,3440.0,,0.0012000000000000001,0.0284
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  GLPR,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,UNBRANDED PRODUCTS,,448.0,10864.0,,746.0,11198.0,,0.0048,0.11560000000000001
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 28,16MG+4MG,28,INNOVATIVE BRANDED PRODUCTS,4984.0,10556.0,6356.0,32246.0,64606.0,37958.0,0.1061,0.22469999999999998,0.13529999999999998
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,152712.0,158284.0,138208.0,150542.0,80514.0,63063.0,0.4062,0.42089999999999994,0.3676
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,139496.0,132048.0,105336.0,500750.0,248629.0,174850.0,1.4842999999999997,1.405,1.1208
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,UNBRANDED PRODUCTS,,,8064.0,,,2275.0,,,0.021499999999999995
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,UNBRANDED PRODUCTS,,,3332.0,,,3234.0,,,0.0356
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,NON ORIGINAL BRANDED PRODUCTS,9100.0,28924.0,30464.0,4292.0,13528.0,11256.0,0.0243,0.0769,0.08099999999999999
FINLAND,RETAIL,EUROPE,EUROPE - OTHER,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,NON ORIGINAL BRANDED PRODUCTS,7756.0,29876.0,25340.0,13460.0,51053.0,34469.0,0.08249999999999999,0.31789999999999996,0.2697
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,UNBRANDED PRODUCTS,,,653.0,,,161.0,,,0.0018000000000000002
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,UNBRANDED PRODUCTS,,,582.0,,,455.0,,,0.0062
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,INNOVATIVE BRANDED PRODUCTS,396587.0,381053.0,233037.0,248855.0,227270.0,135281.0,1.0549,1.0136,0.6197999999999999
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,288452.0,274439.0,181847.0,545444.0,493937.0,318474.0,3.0690000000000004,2.9200999999999997,1.9348999999999998
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,UNBRANDED PRODUCTS,,3349.0,144129.0,,845.0,35863.0,,0.0089,0.3833
FRANCE,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,UNBRANDED PRODUCTS,,1822.0,90096.0,,1451.0,70783.0,,0.0194,0.9586
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,UNBRANDED PRODUCTS,,1708.0,65016.0,,443.0,16753.0,,0.0045000000000000005,0.17300000000000001
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,UNBRANDED PRODUCTS,,630.0,37240.0,,153.0,8886.0,,0.0017,0.09899999999999999
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 4MG+1MG 28,4MG+1MG,28,UNBRANDED PRODUCTS,,,3192.0,,,2254.0,,,0.0169
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,UNBRANDED PRODUCTS,,2016.0,30380.0,,1657.0,24752.0,,0.0215,0.32320000000000004
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,AUROBINDO,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  AURB,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,UNBRANDED PRODUCTS,,903.0,36638.0,,665.0,26689.0,,0.009600000000000001,0.38960000000000006
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,641452.0,743204.0,684348.0,445310.0,490914.0,440212.0,1.7064000000000001,1.9770000000000003,1.8205000000000005
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,1218462.0,1030750.0,796593.0,784068.0,631693.0,475296.0,3.2412,2.7419000000000002,2.1189
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,395696.0,440748.0,406700.0,867793.0,919672.0,826759.0,4.2103,4.6895,4.3271
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,927283.0,775222.0,569429.0,1820527.0,1449441.0,1036402.0,9.866200000000001,8.2483,6.0588999999999995
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,UNBRANDED PRODUCTS,,26768.0,151424.0,,7010.0,38932.0,,0.0712,0.40280000000000005
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,UNBRANDED PRODUCTS,,24178.0,90881.0,,5871.0,21731.0,,0.0643,0.24160000000000004
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,UNBRANDED PRODUCTS,,16128.0,73444.0,,13309.0,59622.0,,0.17160000000000003,0.7814
FRANCE,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MYLAN,BUPRENORPHINE!NALOXONE,BUPREN/NALOX  MYLA,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,UNBRANDED PRODUCTS,,24206.0,80094.0,,17885.0,58246.0,,0.25749999999999995,0.8522000000000001
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,EURIMPHARM,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,,,93.0,,,311.0,,,0.001
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,NON ORIGINAL BRANDED PRODUCTS,,,1511.0,,,1166.0,,,0.004
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 1,16MG+4MG,1,INNOVATIVE BRANDED PRODUCTS,607.0,277.0,68.0,5121.0,2251.0,538.0,0.013099999999999999,0.0059,0.0014
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,INNOVATIVE BRANDED PRODUCTS,41016.0,27299.0,28363.0,34680.0,25915.0,26596.0,0.10899999999999999,0.07269999999999999,0.0755
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,12060.0,11013.0,15417.0,50653.0,44436.0,60846.0,0.1285,0.1171,0.1641
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,KOHL MEDICAL AG,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,124.0,124.0,,478.0,417.0,,0.0013,0.0013,
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,MUNDIPHARMA INT,BUPRENORPHINE!NALOXONE,ZUBSOLV,AAF SUBLING TABS,SUBL TAB 5.7MG+1.4MG 1,5.7MG+1.4MG,1,INNOVATIVE BRANDED PRODUCTS,,78.0,,,324.0,,,0.0006,
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,NOVARTIS,BUPRENORPHINE!NALOXONE,BUNALICT,AAF SUBLING TABS,SUBL TAB 2MG+500Y 1,2MG+500Y,1,NON ORIGINAL BRANDED PRODUCTS,,153.0,,,129.0,,,0.00039999999999999996,
GERMANY,HOSPITAL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,ORIFARM,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 1,8MG+2MG,1,INNOVATIVE BRANDED PRODUCTS,,,75.0,,,554.0,,,0.0008
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,EURIMPHARM,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,3136.0,21000.0,48104.0,12235.0,79521.0,155369.0,0.0333,0.2235,0.5119
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,EURIMPHARM,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,147.0,1540.0,161.0,572.0,5808.0,591.0,0.0015,0.016200000000000003,0.0018
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,NON ORIGINAL BRANDED PRODUCTS,,6860.0,22148.0,,5651.0,17986.0,,0.018299999999999997,0.059
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 49,2MG+500Y,49,NON ORIGINAL BRANDED PRODUCTS,,8869.0,19110.0,,7406.0,15717.0,,0.0235,0.0507
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,NON ORIGINAL BRANDED PRODUCTS,,49.0,1400.0,,39.0,1049.0,,0.0001,0.0036999999999999993
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 28,4MG+1MG,28,NON ORIGINAL BRANDED PRODUCTS,,308.0,2268.0,,569.0,4133.0,,0.0015,0.0119
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 49,4MG+1MG,49,NON ORIGINAL BRANDED PRODUCTS,,2695.0,8918.0,,5000.0,16321.0,,0.0144,0.0476
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 4MG+1MG 7,4MG+1MG,7,NON ORIGINAL BRANDED PRODUCTS,,91.0,252.0,,164.0,447.0,,0.0005,0.0012000000000000001
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,NON ORIGINAL BRANDED PRODUCTS,,6020.0,23716.0,,20097.0,78010.0,,0.0641,0.25249999999999995
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 49,8MG+2MG,49,NON ORIGINAL BRANDED PRODUCTS,,5586.0,23226.0,,18732.0,76784.0,,0.059300000000000005,0.24710000000000001
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,G.L. PHARMA,BUPRENORPHINE!NALOXONE,BUPENSAN DUO,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,NON ORIGINAL BRANDED PRODUCTS,,294.0,3255.0,,965.0,10539.0,,0.0029999999999999996,0.0349
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,GERKE PHARMA    >>,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,231.0,,,902.0,,,0.0025,,
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 16MG+4MG 28,16MG+4MG,28,INNOVATIVE BRANDED PRODUCTS,51100.0,45024.0,47880.0,435174.0,364423.0,377662.0,1.0873,0.9580000000000001,1.0190000000000001
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 28,2MG+500Y,28,INNOVATIVE BRANDED PRODUCTS,898436.0,814660.0,723436.0,959028.0,827928.0,716290.0,2.3899999999999997,2.1668,1.9242
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 2MG+500Y 7,2MG+500Y,7,INNOVATIVE BRANDED PRODUCTS,53151.0,43127.0,35182.0,56696.0,43831.0,34823.0,0.14140000000000003,0.1147,0.0935
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 28,8MG+2MG,28,INNOVATIVE BRANDED PRODUCTS,669368.0,522984.0,351316.0,2847877.0,2118640.0,1385838.0,7.122,5.564599999999999,3.738
GERMANY,RETAIL,EUROPE,EUROPE - KEY 5,N7 OTHER CNS DRUGS,INDIVIOR,BUPRENORPHINE!NALOXONE,SUBOXONE,AAF SUBLING TABS,SUBL TAB 8MG+2MG 7,8MG+2MG,7,INNOVATIVE BRANDED PRODUCTS,54334.0,48055.0,37779.0,231096.0,194659.0,149011.0,0.5781,0.5112,0.4019
